OrganizationId;Name
962378064;AVERØY KOMMUNE
964963916;HÆGEBOSTAD KOMMUNE
964964343;NISSEDAL KOMMUNE
940898862;FLESBERG KOMMUNE
940400392;LEBESBY KOMMUNE
945468661;LØDINGEN KOMMUNE
941087957;MÅSØY KOMMUNE
940192692;TRÆNA KOMMUNE
938795592;BÅTSFJORD KOMMUNE
961381274;GAUSDAL KOMMUNE
964963649;HJARTDAL KOMMUNE
937697767;HOLTÅLEN KOMMUNE
959469792;IBESTAD KOMMUNE
921060440;LINDESNES KOMMUNE
964981892;SURNADAL KOMMUNE
940152496;ÅMOT KOMMUNE
864993982;BARDU KOMMUNE
844458312;BJØRNAFJORDEN KOMMUNE
834210622;BØMLO KOMMUNE
864994032;DYRØY KOMMUNE
864968422;FJALER KOMMUNE
863320852;FLAKSTAD KOMMUNE
845153272;FLATANGER KOMMUNE
817263992;FÆRDER KOMMUNE
845901422;GILDESKÅL KOMMUNE
864949762;GJERDRUM KOMMUNE
864964702;GRIMSTAD KOMMUNE
829912252;HARAM KOMMUNE
846316442;HEMNES KOMMUNE
872417982;HERØY KOMMUNE
864979092;HJELMELAND KOMMUNE
864966012;IVELAND KOMMUNE
820956532;KINN KOMMUNE
864969682;KLEPP KOMMUNE
820852982;KRISTIANSAND KOMMUNE
857566122;LIER KOMMUNE
820710592;LILLESTRØM KOMMUNE
840014932;LYNGEN KOMMUNE IVGU SUOHKAN YYKEÄN KUNTA
842566142;LØRENSKOG KOMMUNE
835231712;MERÅKER KOMMUNE
864982212;NAMSSKOGAN KOMMUNE
839893132;NORD-FRON KOMMUNE
861381722;NORDRE LAND KOMMUNE
864338712;OSTERØY KOMMUNE
872418032;RANA KOMMUNE
864980902;RAUMA KOMMUNE
864950582;RINGSAKER KOMMUNE
822534422;SANDE KOMMUNE
864953042;SILJAN KOMMUNE
847737492;SORTLAND KOMMUNE / SUORTTÁ SOUHKAN
840029212;STEINKJER KOMMUNE
864967272;SVEIO KOMMUNE
859223672;TIME KOMMUNE
864963552;TINN KOMMUNE
864948502;TRYSIL KOMMUNE
864983472;TYDAL KOMMUNE
839953062;UNJARGGA GIELDA / NESSEBY KOMMUNE
844824122;VEFSN KOMMUNE
871034222;VÅLER KOMMUNE
845152012;ØKSNES KOMMUNE
864952992;ÅL KOMMUNE
864965962;ÅMLI KOMMUNE
920290922;ALVER KOMMUNE
920125298;ASKER KOMMUNE
948164256;AURSKOG-HØLAND KOMMUNE
948350823;AUSTRHEIM KOMMUNE
972418013;BODØ KOMMUNE
935478715;BÆRUM KOMMUNE
933277461;DRANGEDAL KOMMUNE
952857991;ELVERUM KOMMUNE
972418021;FAUSKE KOMMUNE
934266811;GAMVIK KOMMUNE
972417971;HARSTAD KOMMUNE / HÁRSTTÁID SUOHKAN
917151229;HOLMESTRAND KOMMUNE
920123899;INDRE ØSTFOLD KOMMUNE
972417998;KVÆFJORD KOMMUNE
918082956;LARVIK KOMMUNE
972417963;LIERNE KOMMUNE
954681890;LÆRDAL KOMMUNE
971035560;MALVIK KOMMUNE
920297293;MIDT-TELEMARK KOMMUNE
972418005;MÅLSELV KOMMUNE
971643870;NITTEDAL KOMMUNE
934945514;RANDABERG KOMMUNE
952540556;RÆLINGEN KOMMUNE
972417734;SALTDAL KOMMUNE
971197609;SELBU KOMMUNE
948243113;SOLA KOMMUNE
972417750;SØRFOLD KOMMUNE
933649768;ULLENSAKER KOMMUNE
920500633;ULLENSVANG KOMMUNE
971159928;ULVIK HERAD
972418048;VARDØ KOMMUNE
936846777;VENNESLA KOMMUNE
971028300;VESTRE TOTEN KOMMUNE
954597482;ØVRE EIKER KOMMUNE
929911709;ÅLESUND KOMMUNE
954679721;ÅRDAL KOMMUNE
916882807;SANDEFJORD KOMMUNE
938712441;ALSTAHAUG KOMMUNE
944588132;ALTA KOMMUNE
939984194;ALVDAL KOMMUNE
945624809;ANDØY KOMMUNE
940875560;AREMARK KOMMUNE
940493021;ARENDAL KOMMUNE
941139787;AUSTEVOLL KOMMUNE
940208580;BALSFJORD KOMMUNE
940244145;BAMBLE KOMMUNE
945452676;BØ KOMMUNE
943505527;DEANU GIELDA / TANA KOMMUNE
939849831;DOVRE KOMMUNE
921234554;DRAMMEN KOMMUNE
945114878;DØNNA KOMMUNE
944227121;EIDFJORD KOMMUNE
944496394;EIGERSUND KOMMUNE
933038173;ETNEDAL KOMMUNE
940642140;EVENES KOMMUNE / EVENÁSSI SUOHKAN
944041036;FEDJE KOMMUNE
944073310;FITJAR KOMMUNE
